employee,words,department,email
Ada Campo Corrente,"IPO,Politics,Vacation,Golf,Meeting,Sick,Profit,Staff Picnic",Executive,"Managing perceptions about the IPO,Impact of Kronos politics on upcoming rollout,Impact of local politics on profit margin,Vacation donation request,Impromptu golf vacation - who's in?,Recommend a good vacation spot?,Reception after the corporate meeting Monday morning,Hey I'm going home sick,Planning for staff picnic"
Adan Morlun,"Traffic Advisory,Meeting,Guys Night Out,Policy,VIP Visit,Training,Don't Text and Drive",Facilities,"Traffic advisory for today,Union meeting,Guys night out - sorry ladies,New refueling policies - Effective February 1,Facilities preparations for VIP visit,Mandatory training,Don't text and drive!"
Adra Nubarron,"Plants,Data,Wellhead,Downhole,Openhole,GIS,Policy,Schedule,VIP Visit",Engineering,"Plants,Wellhead flow rate data,Downhole prediction 2522-00 - check your parameters,2516-00 openhole logging results,GIS update,Changes to travel policy,Field work rotation schedule,News on VIP Visit January 20 - Please Read!"
Albina Hafon,"Funny,Traffic Advisory,Guys Night Out,Policy,Training,Meeting",Facilities,"Funny!!,Traffic advisory for today,Guys night out - sorry ladies,New refueling policies - Effective February 1,Mandatory safety training,Union meeting"
Anda Ribera,"Meeting,Babysitting,Coupon Club,Funny,Lunch,Training,Catering",Administration,"Babysitting recommendations,Late for meeting,Coupon club,Joke - funny!,Too funy - you have to see this...,Need a ride to lunch later,Training opportunity,Catering?!?"
Axel Calzas,"Data,Wellhead,Schedule,Sick,GIS,Meeting,Casino",Engineering,"Wellhead flow rate data,Field work rotation schedule,Going home sick,GIS update,Meeting,Remember Casino night!"
Benito Hawelon,"Policy,Funny,Coffee,Gastech,Traffic Advisory",Facilities,"New refueling policies - Effective February 1,Funny!!,Are you buying coffee?,GASTech announcements,Traffic advisory for today"
Bertrand Ovan,"Training,VIP Visit,Policy,Funny,Meeting,Don't Text and Drive",Facilities,"Mandatory safety training,Facilities preparations for VIP visit,New refueling policies - Effective February 1,Funny!!,Union meeting,Don't text and drive!"
Birgitta Frente,"Downhole,Coffee,Data,Wellhead,GIS",Engineering,"Downhole prediction 2522-00 - check your parameters,Downhole prediction 2522-00,Are you buying coffee?,Wellhead flow rate data,Wellhead flow rate data - overpressure at well 1783-03?,GIS update"
Brand Tempestad,"Data,Downhole,Openhole,Report,Schedule,Wellhead,GIS,Cased-hole",Engineering,"Wellhead flow rate data,Wellhead flow rate data - overpressure at well 1783-03?,Downhole logging scheduled for 2516-00,Downhole prediction 2522-00 - updated,2516-00 openhole logging results,Well 1033-01 stabilization progress report,Cased-hole inspection schedule,Field work rotation schedule,GIS update"
Carla Forluniau,"Babysitting,Catering,Funny,Coupon Club,VIP Visit,Training",Administration,"Babysitting recommendations,Catering?!?,Too funy - you have to see this...,Coupon club,Question - Protocol for VIP visit,Training opportunity"
Cecilia Morluniau,"Traffic Advisory,Guys Night Out,Funny,VIP Visit,Don't Text and Drive",Facilities,"Traffic advisory for today,Guys night out - sorry ladies,Funny!!,Facilities preparations for VIP visit,Don't text and drive!"
Claudio Hawelon,"Funny,Cute,VIP Visit,Coffee,Training,Traffic Advisory,Guys Night Out",Facilities,"Funny!!,Awwww- cute!,Facilities preparations for VIP visit,Are you buying coffee?,Mandatory safety training,Traffic advisory for today,Guys night out - sorry ladies"
Cornelia Lais,"Training,Babysitting,Meeting,Catering,Coupon Club,Funny,VIP Visit",Administration,"Training opportunity,Training question,Babysitting recommendations,Late for meeting,How to Prepare for the January 20 VIP Meetings,Catering?!?,Coupon club,Joke - funny!"
Dante Coginian,"Policy,Funny,Guys Night Out,Report,Don't Text and Drive",Facilities,"New refueling policies - Effective February 1,Updated Safety Policies,Funny!!,Guys night out - sorry ladies,They need that report today,Don't text and drive!"
Dylan Scozzese,"Guys Night Out,Traffic Advisory,Meeting,Training,VIP Visit,Funny,Don't Text and Drive",Facilities,"Guys night out - sorry ladies,Traffic advisory for today,Union meeting,Mandatory safety training,Facilities preparations for VIP visit,Funny!!,Don't text and drive!"
Edvard Vann,"Coffee,VIP Visit,Gastech,Schedule,Vacation,Staff Picnic",Security,"Money for coffee fund,Security procedures for January 20 VIP visit,GASTech announcements,Vacation scheduling procedures,Planning for staff picnic"
Elsa Orilla,"Schedule,GIS,Coffee,Data,Downhole,Wellhead,Cased-hole,Casino,Openhole,Staff Picnic",Engineering,"Field work rotation schedule ,Cased-hole inspection schedule,GIS update,Money for coffee fund,Wellhead flow rate data,Wellhead flow rate data - overpressure at well 1783-03?,Downhole prediction 2522-00,Remember Casino night!,2516-00 openhole logging results,Planning for staff picnic"
Emile Arpa,"VIP Visit,Funny,Guys Night Out,Meeting,Training,Don't Text and Drive,Traffic Advisory",Facilities,"Facilities preparations for VIP visit,How to Prepare for the January 20 VIP Meetings,Funny!!,Guys night out - sorry ladies,Mandatory safety training,Don't text and drive!,Traffic advisory for today"
Felix Balas ,"Data,Wellhead,GIS,Downhole,Schedule,Openhole",Engineering,"Wellhead flow rate data,GIS update,Downhole prediction 2522-00 - updated,Field work rotation schedule,2516-00 openhole logging results"
Felix Resumir,"Coffee,Report,Sick,Lottery,Policy,VIP Visit",Security,"Are you buying coffee?,They need that report today,Hey I'm going home sick,Parking lottery winners,Changes to travel policy,Security procedures for January 20 VIP visit"
Gustav Cazar,"Downhole,Plants,Schedule,Data,GIS,Lunch,Openhole,Report,Wellhead",Engineering,"Downhole prediction 2522-00,Plants,Field work rotation schedule,Wellhead flow rate data - overpressure at well 1783-03?,GIS update,Need a ride to lunch later,2516-00 openhole logging results,Well 1033-01 stabilization progress report"
Henk Mies,"Meeting,Don't Text and Drive,Funny,Traffic Advisory,Guys Night Out",Facilities,"Union meeting,Late for meeting,Don't text and drive!,Funny!!,Traffic advisory for today,Guys night out - sorry ladies"
Hennie Osvaldo,"Concert,Policy,Schedule,VIP Visit,Vacation,Virus Detected",Security,"Concert tickets,Updated Safety Policies,News on VIP Visit January 20 - Please Read!,Vacation donation request,Vacation scheduling procedures,Action: Virus detected on your system"
Hideki Cocinaro,"Policy,VIP Visit",Security,"Changes to travel policy,Security procedures for January 20 VIP visit"
Inga Ferro,"Meeting,Plants,VIP Visit,Virus Detected,Audit",Security,"Late for meeting,Plants,Security procedures for January 20 VIP visit,Action: Virus detected on your system,Equipment audit approaching"
Ingrid Barranco,"IPO,Meeting,Staff Picnic,Plants,Profit,Policy,Politics",Executive,"Managing perceptions about the IPO,Reception after the corporate meeting Monday morning,Planning for staff picnic,Plants,Impact of local politics on profit margin,Maximizing quarterly profits,Updated Safety Policies"
Irene Nant,"Traffic Advisory,Funny,Guys Night Out,Policy,VIP Visit",Facilities,"Traffic advisory for today,Funny!!,Ha ha,Guys night out - sorry ladies,Updated Safety Policies,Facilities preparations for VIP visit"
