source,target,value,groupsource,grouptarget,sourcedepartment,targetdepartment,DateModified,Time,Subject,New/Reply Email,Recepient Count,senderfullname,recipientfullname
Sven Flecha,Isak Baza,25,5,5,IT,IT,06-01-14,08:39,GT-SeismicProcessorPro Bug Report,New,To 1,Sven Flecha,Isak Baza
Sven Flecha,Lucas Alcazar,21,5,5,IT,IT,06-01-14,08:39,GT-SeismicProcessorPro Bug Report,New,To 2,Sven Flecha,Lucas Alcazar
Kanon Herrero,Felix Resumir,6,6,6,Security,Security,06-01-14,08:58,Inspection request for site,New,To 1,Kanon Herrero,Felix Resumir
Kanon Herrero,Hideki Cocinaro,3,6,6,Security,Security,06-01-14,08:58,Inspection request for site,New,To 2,Kanon Herrero,Hideki Cocinaro
Kanon Herrero,Inga Ferro,7,6,6,Security,Security,06-01-14,08:58,Inspection request for site,New,To 3,Kanon Herrero,Inga Ferro
Kanon Herrero,Varja Lagos,5,6,6,Security,Security,06-01-14,08:58,Inspection request for site,New,To 4,Kanon Herrero,Varja Lagos
Kanon Herrero,Kanon Herrero,8,6,6,Security,Security,06-01-14,08:58,Inspection request for site,New,To 5,Kanon Herrero,Kanon Herrero
Kanon Herrero,Stenig Fusil,3,6,6,Security,Security,06-01-14,08:58,Inspection request for site,New,To 6,Kanon Herrero,Stenig Fusil
Kanon Herrero,Hennie Osvaldo,8,6,6,Security,Security,06-01-14,08:58,Inspection request for site,New,To 7,Kanon Herrero,Hennie Osvaldo
Kanon Herrero,Isia Vann,3,6,6,Security,Security,06-01-14,08:58,Inspection request for site,New,To 8,Kanon Herrero,Isia Vann
Kanon Herrero,Edvard Vann,6,6,6,Security,Security,06-01-14,08:58,Inspection request for site,New,To 9,Kanon Herrero,Edvard Vann
Kanon Herrero,Loreto Bodrogi,4,6,6,Security,Security,06-01-14,08:58,Inspection request for site,New,To 10,Kanon Herrero,Loreto Bodrogi
Bertrand Ovan,Emile Arpa,27,4,4,Facilities,Facilities,06-01-14,09:28,New refueling policies - Effective February 1,New,To 1,Bertrand Ovan,Emile Arpa
Bertrand Ovan,Varro Awelon,25,4,4,Facilities,Facilities,06-01-14,09:28,New refueling policies - Effective February 1,New,To 2,Bertrand Ovan,Varro Awelon
Bertrand Ovan,Dante Coginian,26,4,4,Facilities,Facilities,06-01-14,09:28,New refueling policies - Effective February 1,New,To 3,Bertrand Ovan,Dante Coginian
Bertrand Ovan,Albina Hafon,26,4,4,Facilities,Facilities,06-01-14,09:28,New refueling policies - Effective February 1,New,To 4,Bertrand Ovan,Albina Hafon
Bertrand Ovan,Benito Hawelon,26,4,4,Facilities,Facilities,06-01-14,09:28,New refueling policies - Effective February 1,New,To 5,Bertrand Ovan,Benito Hawelon
Bertrand Ovan,Claudio Hawelon,26,4,4,Facilities,Facilities,06-01-14,09:28,New refueling policies - Effective February 1,New,To 6,Bertrand Ovan,Claudio Hawelon
Bertrand Ovan,Henk Mies,27,4,4,Facilities,Facilities,06-01-14,09:28,New refueling policies - Effective February 1,New,To 7,Bertrand Ovan,Henk Mies
